p_code,mmi_max,total_population,index_cnt_vdc,index_rate_vdc,index_den_vdc
C-BAG-28-005,7.61,4372,8.4,9.9,9.8
C-BAG-28-006,7.7,3238,8.5,10,10
C-BAG-28-007,7.49,3488,8.4,9.9,9.9
C-BAG-28-008,7.99,26750,8.6,9.1,10
C-BAG-28-009,7.89,2945,8.6,10,10
C-BAG-28-010,7.61,2117,8.4,10,10
C-BAG-28-011,7.83,5419,8.6,9.9,10
C-BAG-28-012,7.7,3238,8.5,10,10
C-BAG-28-013,7.79,5480,8.5,9.8,10
C-BAG-28-014,7.94,3535,8.6,10,10
C-BAG-28-015,7.58,2085,8.4,10,10
C-BAG-28-016,7.72,2736,8.5,10,10
C-BAG-28-017,7.63,3656,8.5,10,10
C-BAG-28-018,7.93,7790,8.6,9.7,10
C-BAG-28-019,7.51,2873,8.4,10,10
C-BAG-28-020,7.76,3728,8.5,10,10
C-BAG-28-021,7.49,3180,8.4,10,10
C-BAG-28-022,7.72,6382,8.5,9.7,10
C-BAG-28-023,7.46,3100,8.4,10,9.2
C-BAG-28-024,7.82,3431,8.5,10,10
C-BAG-28-025,7.81,6286,8.5,9.8,10
C-BAG-28-026,7.68,4063,8.5,9.9,10
C-BAG-28-027,7.7,7320,8.5,9.6,9.9
C-BAG-28-028,7.69,3606,8.5,10,10
C-BAG-28-029,7.63,5722,8.5,9.7,10
C-BAG-28-030,7.58,2993,8.4,10,10
C-BAG-28-031,7.81,6166,8.5,9.8,10
C-BAG-28-032,7.69,1609,8.5,10,10
C-BAG-28-033,7.81,5330,8.5,9.9,10
C-BAG-28-034,7.61,1976,8.4,10,10
C-BAG-28-035,8.02,8672,8.6,9.7,10
C-BAG-28-036,7.6,4480,8.4,9.9,10
C-BAG-28-037,7.57,2462,8.4,10,10
C-BAG-28-038,7.98,8862,8.6,9.7,10
C-BAG-28-039,7.59,3524,8.4,10,10
C-BAG-28-040,7.52,3321,8.4,10,10
C-BAG-28-041,7.66,5335,8.5,9.8,10
C-BAG-28-042,7.72,7901,8.5,9.6,10
C-BAG-28-043,7.64,2675,8.5,10,10
C-BAG-28-044,7.64,4563,8.5,9.9,10
C-BAG-28-045,7.92,3793,8.6,10,10
C-BAG-28-046,7.54,3437,8.4,10,10
C-BAG-28-047,7.63,2186,8.5,10,10
C-BAG-28-048,7.81,5304,8.5,9.9,10
C-BAG-28-049,7.56,3053,8.4,10,10
C-BAG-28-050,7.45,1997,8.4,10,10
C-BAG-28-051,7.47,3534,8.4,9.9,9.9
C-BAG-28-052,7.53,1582,8.4,10,10
C-BAG-28-053,7.49,2411,8.4,10,10
C-BAG-28-054,7.62,2449,8.4,10,10
C-BAG-28-055,7.87,3654,8.6,10,10
C-BAG-28-056,7.56,2976,8.4,10,10
C-BAG-28-057,7.88,5233,8.6,9.9,10
C-BAG-28-058,7.63,2831,8.5,10,10
C-BAG-28-059,7.81,6126,8.5,9.8,10
C-BAG-28-060,7.62,3942,8.4,9.9,10
